what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1339113662781
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1339113662782
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1339113662801
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1339113663369
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1339113663373
started,bundle,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms",1339113663389
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1339113663426
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1339113663501
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1339113663538
os,sysinfo,,,"win32",1339113663953
arch,sysinfo,,,"x86",1339113663953
ws,sysinfo,,,"win32",1339113663953
locale,sysinfo,,,"en_US",1339113663953
processors,sysinfo,,,"1",1339113663953
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1339113663953
java.runtime.version,sysinfo,,,"1.7.0_04-b22",1339113663953
java.specification.name,sysinfo,,,"Java Platform API Specification",1339113663953
java.specification.vendor,sysinfo,,,"Oracle Corporation",1339113663953
java.specification.version,sysinfo,,,"1.7",1339113663953
java.vendor,sysinfo,,,"Oracle Corporation",1339113663953
java.version,sysinfo,,,"1.7.0_04",1339113663953
java.vm.info,sysinfo,,,"mixed mode, sharing",1339113663953
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1339113663953
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1339113663953
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1339113663953
java.vm.specification.version,sysinfo,,,"1.7",1339113663953
java.vm.vendor,sysinfo,,,"Oracle Corporation",1339113663953
java.vm.version,sysinfo,,,"23.0-b21",1339113663953
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1339113666457
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1339113666735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339113667961
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.DeviceView",1339113667986
started,bundle,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.adt",1339113669774
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1339113670692
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1339113670746
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1339113670754
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1339113671254
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1339113671273
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1339113671802
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1339113672774
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1339113672783
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1339113672898
started,bundle,com.android.ide.eclipse.traceview,18.0.0.v201203301601-306762,"com.android.ide.eclipse.traceview",1339113681765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339113685073
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339113700492
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.LogCatView",1339113701577
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.DeviceView",1339113724023
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.EmulatorControlView",1339113730904
opened,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.HeapView",1339113744479
activated,view,com.android.ide.eclipse.ddms,18.0.0.v201203301601-306762,"com.android.ide.eclipse.ddms.views.HeapView",1339113744545
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339113748257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339113749222
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1339113750409
